###################type###################
###################nucleosome#yes bp###################
2005	1	1
2010	1	2
2011	1	3
2013	3	6
2014	2	8
2015	2	10
2016	4	14
2017	5	19
2018	2	21
###################nucleosome#no bp###################
1991	1	1
1997	1	2
1999	1	3
2000	3	6
2001	1	7
2002	6	13
2003	11	24
2004	3	27
2005	5	32
2006	2	34
2007	3	37
2008	3	40
2009	4	44
2010	12	56
2011	21	77
2013	12	89
2014	8	97
2015	26	123
2016	12	135
2017	17	152
2018	3	155
###################histone#yes bp###################
1999	1	1
2000	1	2
2001	2	4
2002	3	7
2003	8	15
2004	4	19
2005	10	29
2006	29	58
2007	34	92
2008	14	106
2009	23	129
2010	43	172
2011	54	226
2012	33	259
2013	23	282
2014	42	324
2015	41	365
2016	54	419
2017	38	457
###################histone#no bp###################
1993	1	1
2002	1	2
2003	2	4
2004	1	5
2005	2	7
2006	1	8
2009	2	10
2010	6	16
2011	1	17
2012	2	19
2013	2	21
2014	1	22
2016	1	23
2018	1	24
